Year,reporting_delay,p
2013,166,7.294991464692707e-4
2013,167,7.19045424203404e-4
2013,168,7.087804698806192e-4
2013,169,6.987001410435722e-4
2013,170,6.888004026295254e-4
2013,171,6.790773237543171e-4
2013,172,6.695270746055532e-4
2013,173,6.60145923440871e-4
2013,174,6.509302336873176e-4
2013,175,6.418764611380201e-4
2013,176,6.329811512425238e-4
2013,177,6.242409364872788e-4
2013,178,6.156525338629512e-4
2013,179,6.072127424153174e-4
2013,180,5.989184408766766e-4
2013,181,5.907665853748179e-4
2013,182,5.827542072167045e-4
2013,183,5.748784107441492e-4
2013,184,5.671363712588779e-4
2013,185,5.595253330144556e-4
2013,186,5.520426072726798e-4
2013,187,5.446855704221291e-4
2013,188,5.374516621566267e-4
2013,189,5.30338383711512e-4
2013,190,5.233432961556507e-4
2013,191,5.164640187372181e-4
2013,192,5.096982272813708e-4
2013,193,5.030436526379751e-4
2013,194,4.964980791776555e-4
2013,195,4.900593433344703e-4
2013,196,4.837253321936078e-4
2013,197,4.7749398212254204e-4
2013,198,4.7136327744415595e-4
2013,199,4.653312491503896e-4
2013,200,4.593959736550321e-4
2014,1,0.18410338899825512
2014,2,0.16082748553291204
2014,3,0.12242523927651233
2014,4,0.0924977258570335
2014,5,0.0708220559826963
2014,6,0.055138486920916156
2014,7,0.043625488017437146
2014,8,0.035024676537349385
2014,9,0.028488086431748022
2014,10,0.0234408167459468
2014,11,0.019487121132941397
2014,12,0.016349746429115904
2014,13,0.01383101479459209
2014,14,0.011787618983263606
2014,15,0.010114049654250301
2014,16,0.008731513009698934
2014,17,0.007580393188569982
2014,18,0.0066150412234608404
2014,19,0.0058001164657173285
2014,20,0.005107980651807707
2014,21,0.00451681664280327
2014,22,0.004009253245725547
2014,23,0.0035713482338470366
2014,24,0.0031918280954994845
2014,25,0.0028615139543579915
2014,26,0.0025728839824150987
2014,27,0.002319736914151207
2014,28,0.0020969311694412807
2014,29,0.0019001810319974972
2014,30,0.001725896248480996
2014,31,0.0015710549357670469
2014,32,0.001433102231270829
2014,33,0.0013098689806936015
2014,34,0.001199506126740093
2014,35,0.001100431478918005
2014,36,0.001011286305211343
2014,37,9.308997598700754e-4
2014,38,8.582595969209015e-4
2014,39,7.924879517515202e-4
2014,40,7.32821229066046e-4
2014,41,6.785933335781725e-4
